claim_id,module,audience,question,claim,patient_answer,technician_detail,evidence_strength,source_pmids,source_labels,clinical_action,caveat,status
PRO-001,Protocol Literacy,patient_and_technician,What protocols are best established for depression?,"High-frequency left prefrontal rTMS and several related prefrontal protocols have established evidence for major depressive disorder, with protocol-specific indications and parameters.","For depression, TMS usually uses a studied prefrontal protocol repeated across a treatment course.","Confirm indication, target, frequency, intensity, train structure, pulses, and total sessions against the written order.",strong,17573044; 28541649; 27090022; 31901449,17573044: Efficacy and safety of transcranial magnetic stimulation in the acute treatment of major depression: a multisite randomized controlled trial. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder. | 31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018).,Teach protocol literacy before device operation.,Guideline support varies by indication and protocol.,ready_for_training_draft_after_full_text_QA
PRO-002,Protocol Literacy,patient_and_technician,How does iTBS compare with 10 Hz rTMS for depression?,"The THREE-D trial found intermittent theta burst stimulation was non-inferior to standard high-frequency rTMS for treatment-resistant depression, with much shorter sessions.",Some shorter TMS protocols have evidence comparable to longer standard sessions for depression.,"Shorter session length does not mean lower need for exact targeting, dose, and safety checks.",strong,29726344,29726344: Effectiveness of theta burst versus high-frequency repetitive transcranial magnetic stimulation in patients with depression (THREE-D): a randomised non-inferiority trial.,Teach iTBS as evidence-based but protocol-specific.,Non-inferiority was shown for a defined population and protocol.,ready_for_training_draft_after_full_text_QA
PRO-003,Protocol Literacy,technician,Are low-frequency right-sided and bilateral protocols evidence-based?,"Low-frequency right prefrontal and bilateral protocols have supporting evidence, but strength and parameters differ from standard left-sided high-frequency protocols.",Different TMS patterns can be chosen for different clinical reasons.,Do not generalize setup parameters from one protocol to another.,strong,31901449; 28541649; 27090022,31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018). | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,Separate protocol cards by frequency/side/target.,Local payer and device indications may be narrower than the literature.,ready_for_training_draft_after_full_text_QA
PRO-004,Protocol Literacy,technician,What about accelerated protocols and SNT/SAINT?,"Accelerated and Stanford Neuromodulation Therapy-style protocols show promising rapid effects in selected studies, but they require exact protocol fidelity and should not be improvised from standard rTMS.","Some research protocols deliver multiple sessions per day, but they are specialized and not the same as routine TMS.","Check intersession interval, pulse dose, target method, daily session count, and safety monitoring.",moderate,32252538; 34711062,32252538: Stanford Accelerated Intelligent Neuromodulation Therapy for Treatment-Resistant Depression. | 34711062: Stanford Neuromodulation Therapy (SNT): A Double-Blind Randomized Controlled Trial.,Label accelerated protocols as separate workflows.,"Evidence base, regulatory status, and clinic readiness vary.",ready_for_training_draft_after_full_text_QA
PRO-005,Protocol Literacy,technician,Are deep TMS and figure-8 rTMS interchangeable?,"Deep TMS and figure-8 coil rTMS use different coil designs, field distributions, protocols, and device-specific evidence; they are not interchangeable at the technician level.","Different TMS devices can stimulate in different ways, so the treatment plan is device-specific.","Follow device-specific training, safety procedures, helmet/coil positioning, and protocol parameters.",strong,31901449; 27090022; 33243615,"31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018). | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder. | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",Maintain separate competency checklists by device.,Device-specific manuals and FDA labeling should be added to the evidence base.,ready_for_training_draft_after_full_text_QA
PRO-006,Protocol Literacy,patient_and_technician,"Can depression evidence be applied to OCD, smoking, migraine, pain, or other conditions?",Evidence and cleared indications differ by condition; technicians should not generalize depression protocol claims to other diagnoses.,"TMS is studied for several conditions, but each condition has its own evidence and protocol.",Use condition-specific protocol orders and patient education language.,strong,31901449; 33243615,"31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018). | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",Separate diagnosis-specific modules.,Regulatory clearance can differ from guideline evidence and from local clinical practice.,ready_for_training_draft_after_full_text_QA
PRO-007,Protocol Literacy,technician,Why are dose variables not convenience variables?,"Frequency, train duration, intertrain interval, intensity, pulse count, target, and session spacing are active treatment variables.",The timing and number of pulses are part of the prescription.,"Do not alter pulse count, spacing, or intensity to fit scheduling unless a clinician-approved protocol allows it.",strong,33243615; 9474057; 31901449,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 9474057: Risk and safety of repetitive transcranial magnetic stimulation: report and suggested guidelines from the International Workshop on the Safety of Repetitive Transcranial Magnetic Stimulation, June 5-7, 1996. | 31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018).",Build hard stops for protocol deviations.,Some devices automate these fields; technicians still need to verify them.,ready_for_training_draft_after_full_text_QA
PRO-008,Protocol Literacy,technician,How should clinical outcomes be tracked?,"Treatment response should be tracked with validated clinical measures and clinician assessment, not technician intuition alone.",The rating scales help the team measure change over time.,Administer scales exactly as assigned and escalate suicidality or deterioration immediately.,strong,28541649; 27090022,28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,Integrate scale due dates into workflow.,Scale choice is clinic- and diagnosis-specific.,ready_for_training_draft_after_full_text_QA
MEAS-001,"Future Expansion: fNIRS, EEG, qEEG, TMS-EEG",technician,What can fNIRS add?,"fNIRS can measure cortical hemodynamic signals during or around stimulation, but TMS/fNIRS workflows remain emerging and protocol-specific.",fNIRS is a way to measure blood-flow-related brain activity near the scalp; it is not required for standard TMS everywhere.,"Optode placement, hair, motion, ambient light, and timing relative to stimulation can affect signal quality.",limited,41478613; 42055949,"41478613: Temporal variation of brain hemodynamics with accelerated iTBS for depression: A single-case concurrent TMS/fNIRS study. | 42055949: Functional near-infrared spectroscopy assessment of the effects of transcranial direct current stimulation combined with transcranial magnetic stimulation on dynamic functional networks in patients with chronic insomnia: randomised, double-blind, parallel-group, controlled clinical trial.",Pilot fNIRS as a research/QA workflow before clinical claims.,Evidence is not yet sufficient for universal response prediction.,ready_for_training_draft_after_full_text_QA
MEAS-002,"Future Expansion: fNIRS, EEG, qEEG, TMS-EEG",technician,What can EEG or qEEG add?,"EEG/qEEG may support precision-medicine research for noninvasive brain stimulation in depression, but biomarker-guided decisions remain an emerging area.","Brain-wave tests may provide useful information in some settings, but they do not guarantee who will respond.","Training must cover electrode quality, artifact management, state control, and who is qualified to interpret outputs.",moderate,41483580,41483580: EEG biomarkers for a precision-medicine approach to noninvasive brain stimulation for major depressive disorder.,Avoid deterministic qEEG marketing language.,Algorithm-specific validation is needed before clinical decision use.,ready_for_training_draft_after_full_text_QA
MEAS-003,"Future Expansion: fNIRS, EEG, qEEG, TMS-EEG",technician,What is TMS-EEG?,"TMS-EEG measures EEG responses to TMS pulses and can probe cortical reactivity, but stimulation artifacts and preprocessing choices are major technical challenges.","TMS-EEG records brain electrical activity around the TMS pulse, usually for specialized testing or research.","Cap setup, electrode impedance, amplifier protection, artifact correction, timing, and patient movement are core workflow burdens.",moderate,42055012; 42066923; 41344323,42055012: Effective correction of extreme capacitive artifacts in TMS-EEG via windowed detrending. | 42066923: Exploratory decoding of TMS-EEG: Predicting TEP response to intermittent and continuous theta burst stimulation. | 41344323: Frontoparietal network mediates the antidepressant effects of accelerated iTBS and cTBS: TMS-EEG study.,Treat TMS-EEG as a separate competency.,Outputs need expert interpretation and validated preprocessing.,ready_for_training_draft_after_full_text_QA
MEAS-004,"Future Expansion: fNIRS, EEG, qEEG, TMS-EEG",technician,How should measurement tools be introduced into the platform?,"Measurement tools should be organized by readiness level: clinic-ready workflow, clinic-QA tool, research-use biomarker, or investigational method.","Some measurements are routine, while others are still research tools.","Each measurement module should state setup burden, artifact risks, interpretation authority, and clinical decision pathway.",strong,41483580; 42055012; 42066923,41483580: EEG biomarkers for a precision-medicine approach to noninvasive brain stimulation for major depressive disorder. | 42055012: Effective correction of extreme capacitive artifacts in TMS-EEG via windowed detrending. | 42066923: Exploratory decoding of TMS-EEG: Predicting TEP response to intermittent and continuous theta burst stimulation.,Add readiness labels before expanding into qEEG/fNIRS modules.,Readiness may change as local validation and new evidence accumulate.,ready_for_training_draft_after_full_text_QA
MEC-009,Mechanisms,technician,What does personalized targeting add?,"Personalized targeting and electric-field-informed workflows can improve anatomical or circuit precision, but they require additional imaging, modeling, QA, and interpretation infrastructure.","Some programs use imaging to personalize the target. That can make placement more specific, but it is a specialized workflow.","Do not treat personalized, neuronavigated, robotic, or circuit-guided targeting as a simple coordinate substitution.",moderate,42204340; 42044040; 41438652,"42204340: A generic, rapid and robust platform for personalized functional circuit-guided neuromodulation targeting. | 42044040: Robotically Delivered fMRI-Guided Personalized Transcranial Magnetic Stimulation Therapy for Treatment-Resistant Depression. | 41438652: Efficient prospective electric field-informed localization of motor cortical targets of transcranial magnetic stimulation.",Create separate competencies for MRI-guided and circuit-guided workflows.,Precision workflows do not automatically prove superior outcomes in every setting.,ready_for_training_draft_after_full_text_QA
MEC-010,Mechanisms,patient_and_technician,Is TMS the same as ECT?,TMS is a nonconvulsive outpatient neuromodulation technique and is mechanistically and procedurally distinct from electroconvulsive therapy.,TMS is not ECT. It does not require anesthesia and is not intended to cause a seizure.,Use this distinction when patients arrive with fear based on ECT assumptions.,strong,28541649; 27090022; 33243615,"28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder. | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",Include a TMS-versus-ECT misconception item in onboarding.,ECT remains an evidence-based treatment for some conditions; avoid stigmatizing comparisons.,ready_for_training_draft_after_full_text_QA
SAF-009,Safety and Side Effects,technician,How should pregnancy or special populations be handled?,"Pregnancy, adolescence, older age, epilepsy, implanted devices, and complex neurological or psychiatric histories require clinician-level review rather than technician-level clearance.","Some medical situations do not automatically rule out TMS, but they do require careful clinician review.",Do not reassure or exclude independently; escalate to the prescriber or medical director.,strong,33243615; 19833552; 40865772; 40429604,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 40865772: Efficacy and safety of transcranial magnetic stimulation in the treatment of children, adolescents and young adults with depression: A meta-analysis of randomized controlled trials. | 40429604: Efficacy and Safety of Transcranial Magnetic Stimulation for Treating Late-Life Depression: A Scoping Review.",Build special-population flags into intake and daily screening.,Evidence differs substantially by subgroup and indication.,ready_for_training_draft_after_full_text_QA
SAF-010,Safety and Side Effects,technician,How should implanted devices be handled?,Implanted electronic devices and ferromagnetic or conductive material near the stimulation path are safety-review triggers because magnetic fields can interact with hardware.,We ask about implants because magnets can interact with certain devices or metal.,"Document device type, location, manufacturer information if available, and clinician clearance.",strong,33243615; 19833552; 9803953; 9918361,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 9803953: Safety of transcranial magnetic stimulation in patients with implanted electronic equipment. | 9918361: Safety of transcranial magnetic stimulation in patients with implanted deep brain stimulators.",Maintain an implant-escalation checklist.,Compatibility decisions may require device manuals or manufacturer consultation.,ready_for_training_draft_after_full_text_QA
SAF-011,Safety and Side Effects,patient_and_technician,How should headache be discussed?,"Headache after TMS is usually transient, but severe, unusual, or persistent headache should be escalated rather than dismissed.","Mild headache can happen. Please tell us if it is severe, unusual, or does not settle the way it normally does.",Offer only clinic-approved comfort measures and route medication questions to clinical staff.,strong,33243615; 28541649; 27090022,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.",Add headache severity and timing fields to adverse-event documentation.,Do not give individualized medication advice outside scope.,ready_for_training_draft_after_full_text_QA
SAF-012,Safety and Side Effects,technician,Why track postmarketing and adverse-event signals?,Postmarketing adverse-event surveillance can identify real-world safety patterns that may not be fully visible in trials.,Clinics track side effects so safety practices can keep improving.,Adverse-event documentation should be structured enough to support internal QA and required reporting pathways.,moderate,41678387; 34133991,41678387: Postmarketing Safety of Transcranial Magnetic Stimulation: A 10-Year MAUDE Database Analysis of Adverse Events and Technological Advancements. | 34133991: Seizure risk with repetitive TMS: Survey results from over a half-million treatment sessions.,Train technicians on what counts as reportable internally.,Spontaneous-report databases have reporting bias and cannot estimate incidence alone.,ready_for_training_draft_after_full_text_QA
FAQ-011,Patient FAQ,patient,"If I feel better, can I stop early?",Stopping early should be a clinician decision because standard courses are designed around cumulative dosing and measured response.,"Feeling better is important, but talk with the treatment team before changing the treatment schedule.",Route early-stop requests to the prescriber and continue objective symptom tracking.,clinic-policy-dependent,28541649; 27090022,28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,Add early-improvement counseling to FAQ scripts.,"Continuation, taper, maintenance, and retreatment protocols vary.",ready_for_training_draft_after_full_text_QA
FAQ-012,Patient FAQ,patient,What if I am anxious during treatment?,"Anxiety and expectancy can affect the patient experience, so calm coaching, accurate expectations, and symptom reporting are part of good TMS care.",It is common to feel nervous at first. Tell us what you feel so we can coach you through what is expected and what needs attention.,Use neutral reassurance and avoid promising response or minimizing concerns.,limited,41812418; 42090145,41812418: Expectations and tolerance of transcranial magnetic stimulation in patients with functional neurological disorder. | 42090145: Intermittent Theta Burst Stimulation of the Dorsomedial PFC and Expectancy-Driven Placebo Mood Effects: A Randomized Clinical Trial.,Teach first-session scripts and distress-escalation triggers.,Expectancy effects are real but should not be used to imply symptoms are imagined.,ready_for_training_draft_after_full_text_QA
FAQ-013,Patient FAQ,patient,Is twitching normal?,Facial or scalp muscle twitching can occur because the magnetic field activates superficial nerves and muscles near the coil.,"Some twitching around the scalp, forehead, or face can be normal. Tell us if it changes, hurts, or feels unusual.","Differentiate expected superficial activation from unintended limb movement, seizure concern, or coil misplacement.",strong,33243615; 19833552,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research.",Include expected movement sensations in first-session education.,New or excessive movement should trigger setup review.,ready_for_training_draft_after_full_text_QA
FAQ-014,Patient FAQ,patient,How does TMS work?,"TMS uses a rapidly changing magnetic field to induce small electric fields in brain tissue, rather than sending electricity directly through the scalp.",The coil makes a brief magnetic pulse. That pulse passes through the scalp and induces tiny electrical currents in the targeted brain area.,Use magnetic induction language and avoid implying direct electrical injection or a simple mood switch.,strong,33243615; 19833552,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research.",Add a plain-language mechanism script to first-session onboarding.,Mechanism language does not predict individual response.,ready_for_training_draft_after_full_text_QA
FAQ-015,Patient FAQ,patient,Why do I need so many sessions?,Clinical TMS courses use repeated sessions because effects are expected to accumulate across a treatment course rather than occur only during one stimulation event.,"Each session is part of a course. The goal is for effects to build over repeated treatments, so sticking with the schedule matters.",Frame adherence as cumulative dosing while avoiding promises about when or whether response will occur.,strong,31901449; 28541649; 27090022,31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018). | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,Connect missed-session counseling to the repeated-session rationale.,Course length and schedule depend on the prescribed protocol and clinical response.,ready_for_training_draft_after_full_text_QA
FAQ-016,Patient FAQ,patient,What is motor threshold?,"Resting motor threshold is a personalized calibration measure used to scale treatment intensity, not a measure of mood severity or treatment success.",The hand or thumb movement test helps the team set your dose. It is not a test of how depressed you are or whether you are improving.,"Explain RMT as a dosing calibration step and document method, muscle/site, intensity, and retest triggers.",strong,33243615; 41949547; 42082007,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 41949547: Comparison of 4 Methods to Estimate the Resting Motor Threshold Using Transcranial Magnetic Stimulation: Rossini-Rothwell, 2-Threshold, Adaptive Threshold Hunting, and Stimulus-Response Curve Approaches. | 42082007: 'RMT-Finder': An automated procedure to determine the Resting Motor Threshold for Transcranial Magnetic Stimulation.",Add motor-threshold explanation to mapping and remapping workflows.,RMT methods vary; clinics should follow their device and protocol SOP.,ready_for_training_draft_after_full_text_QA
FAQ-017,Patient FAQ,patient,What side effects are common?,"Common TMS side effects are usually local and transient, including scalp discomfort, headache, facial twitching, and fatigue.","The most common issues are temporary scalp discomfort, headache, twitching near the coil, or fatigue. Tell us if anything is intense, unusual, or worsening.","Track side effect type, severity, timing, session context, comfort steps, and whether clinician review was needed.",strong,33243615; 19833552; 28541649; 27090022,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.",Use a structured side-effect check-in at every session.,Common does not mean ignorable; severe or unusual symptoms require escalation.,ready_for_training_draft_after_full_text_QA
FAQ-018,Patient FAQ,patient,How rare are seizures?,"TMS-associated seizure is rare when safety guidelines and screening are followed, but it remains the serious acute event technicians must be trained to recognize and manage.","Seizures are rare, and that is why we screen carefully and follow safety procedures at every visit.","Know the clinic seizure-response procedure, stop stimulation immediately, protect the patient, and summon medical help.",strong,33243615; 19833552; 34133991; 9474057,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 34133991: Seizure risk with repetitive TMS: Survey results from over a half-million treatment sessions. | 9474057: Risk and safety of repetitive transcranial magnetic stimulation: report and suggested guidelines from the International Workshop on the Safety of Repetitive Transcranial Magnetic Stimulation, June 5-7, 1996.",Teach seizure risk with both reassurance and emergency readiness.,"Risk depends on protocol, device, history, medications, sleep, substances, and other factors.",ready_for_training_draft_after_full_text_QA
FAQ-019,Patient FAQ,patient,Why do I need ear protection?,"Ear protection is recommended because TMS coils produce loud clicking sounds, and hearing protection is a low-burden safety step.",The earplugs are for the clicking sound from the coil. They help protect your hearing during treatment.,"Confirm hearing protection before stimulation and document exceptions, intolerance, or hearing-related complaints.",strong,33243615; 19833552; 1549231,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 1549231: No evidence of hearing loss in humans due to transcranial magnetic stimulation.",Make ear protection a visible pre-session checkpoint.,"Patients with hearing devices, tinnitus, or ear symptoms may need individualized review.",ready_for_training_draft_after_full_text_QA
FAQ-020,Patient FAQ,patient,Can TMS trigger mania or feeling too activated?,"Mood switching or manic/hypomanic activation is uncommon but important to detect, especially when sleep, energy, impulsivity, or agitation changes rapidly.","Tell us if you feel unusually energized, need much less sleep, feel impulsive, agitated, or unlike yourself.","Escalate suspected manic, hypomanic, mixed, or unsafe activation symptoms to the treating clinician before continuing.",moderate,33243615; 28541649; 31901449,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018).",Include activation and sleep-change prompts in mood safety screening.,"Assessment depends on diagnosis, medication plan, and clinician judgment.",ready_for_training_draft_after_full_text_QA
FAQ-021,Patient FAQ,patient,Is TMS the same as ECT?,"TMS is procedurally and mechanistically distinct from electroconvulsive therapy: it is outpatient, nonconvulsive, and does not require anesthesia.","TMS is not ECT. You stay awake, it does not require anesthesia, and the treatment is not intended to cause a seizure.",Use this distinction to reduce fear while avoiding dismissive or stigmatizing comparisons to ECT.,strong,28541649; 27090022; 33243615,"28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder. | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",Add TMS-versus-ECT language to intake scripts.,ECT is an evidence-based treatment in appropriate clinical situations; do not frame it as inferior or unsafe.,ready_for_training_draft_after_full_text_QA
FAQ-022,Patient FAQ,patient,What if I have an implant or metal?,Implanted electronic devices and ferromagnetic or conductive material near the stimulation path are safety-review triggers because TMS magnetic fields can interact with hardware.,"Tell us about any implants, devices, metal, shrapnel, aneurysm clips, stimulators, or hearing devices. The clinical team will review whether treatment is safe.","Document device type, location, manufacturer/model when available, and clinician clearance before stimulation.",strong,33243615; 19833552; 9803953; 9918361,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 9803953: Safety of transcranial magnetic stimulation in patients with implanted electronic equipment. | 9918361: Safety of transcranial magnetic stimulation in patients with implanted deep brain stimulators.",Add an implant and metal escalation script to daily screening.,"Compatibility decisions may require device manuals, manufacturer information, imaging history, or specialist input.",ready_for_training_draft_after_full_text_QA
FAQ-023,Patient FAQ,patient,"What about pregnancy, age, or complex medical situations?","Pregnancy, adolescence, older age, epilepsy, implanted devices, and complex neurological or psychiatric histories require clinician-level review rather than technician-level clearance.","These situations do not always mean TMS is impossible, but they do mean the clinician needs to review your specific case.","Do not reassure, exclude, or clear independently; collect the relevant details and escalate through the prescriber or medical director.",strong,33243615; 19833552; 40865772; 40429604,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 40865772: Efficacy and safety of transcranial magnetic stimulation in the treatment of children, adolescents and young adults with depression: A meta-analysis of randomized controlled trials. | 40429604: Efficacy and Safety of Transcranial Magnetic Stimulation for Treating Late-Life Depression: A Scoping Review.",Create special-population flags in intake and daily update workflows.,"Evidence differs by subgroup, diagnosis, protocol, and risk profile.",ready_for_training_draft_after_full_text_QA
FAQ-024,Patient FAQ,patient,What if I get a headache?,"Headache after TMS is usually transient, but severe, unusual, worsening, or persistent headache should be escalated rather than dismissed.","Mild headache can happen. Please tell us if it is severe, unusual for you, getting worse, or not settling the way it normally does.",Use clinic-approved comfort steps only and route medication or concerning symptom questions to clinical staff.,strong,33243615; 28541649; 27090022,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.","Add headache timing, severity, and pattern fields to adverse-event documentation.",Do not give individualized medication advice outside scope.,ready_for_training_draft_after_full_text_QA
FAQ-025,Patient FAQ,patient,Will I need maintenance or another course later?,"Maintenance and retreatment approaches exist, but they are less standardized than acute-course protocols and should be individualized by the treating clinician.","Some patients discuss maintenance or another course later, but that plan depends on your response, relapse risk, symptoms, coverage, and clinician judgment.","Avoid implying a universal maintenance schedule; document response, relapse concerns, and clinician orders.",moderate,28541649; 27090022,28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,Add maintenance and retreatment boundaries to discharge or end-of-course scripts.,"Maintenance frequency, duration, coverage, and evidence differ by clinic and indication.",ready_for_training_draft_after_full_text_QA
TEC-011,Technician Workflow,technician,What is the technician scope boundary?,"Technicians can execute, monitor, document, and escalate, but diagnosis, eligibility, protocol selection, and medication decisions belong to qualified clinicians.",Technicians help deliver the treatment safely and communicate changes to the clinical team.,Use scripted escalation instead of improvising clinical advice.,strong,28541649; 27090022; 33243615,"28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder. | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",Make scope boundaries explicit in competency training.,Specific legal scope varies by jurisdiction and clinic policy.,ready_for_training_draft_after_full_text_QA
TEC-012,Technician Workflow,technician,How should device-specific training be handled?,"Device, coil, helmet, neuronavigation, and software workflows require device-specific training in addition to general TMS knowledge.",The equipment setup is specific to the device and your treatment plan.,"Maintain device-specific checkoffs for startup, calibration, coil/helmet placement, fault handling, and shutdown.",strong,33243615; 27090022,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.",Separate general TMS education from device competency.,Manufacturer manuals and local SOPs are required evidence sources beyond PubMed.,ready_for_training_draft_after_full_text_QA
TEC-013,Technician Workflow,technician,How should suicidality be handled during a depression course?,Worsening suicidality or emergent acute risk should be escalated immediately through the clinic's psychiatric safety pathway.,"If suicidal thoughts worsen or feel urgent, tell us immediately or seek emergency help.",Do not wait for the next rating-scale interval when acute risk is disclosed.,strong,28541649; 27090022; 41819354,28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder. | 41819354: Efficacy and safety of accelerated transcranial magnetic stimulation on suicidality in depressive disorders: A systematic review and meta-analysis.,Integrate suicide-risk escalation into technician scripts.,Emergency response must follow local law and clinic policy.,ready_for_training_draft_after_full_text_QA
